pid,gameId,playId,jerseyRank,isLeft,isRight,nflId,vises,vise1,vise2,optimal_time,alt_time,path_time,fire_time,fireTimeS
2154,2019090500,125,0,1,0,43452.0,2.0,37212.0,43413.0,6.272558685043517,9.429758678177063,,3.157,0.503
2154,2019090500,125,1,0,1,46724.0,2.0,35583.0,47988.0,6.105653411131793,9.59175866673297,,3.486,0.571
2155,2019090500,327,0,0,1,35583.0,1.0,46087.0,,4.071799297148964,7.348999290282508,6.94894509781406,2.877,0.707
2155,2019090500,327,1,1,0,39975.0,2.0,44845.0,47804.0,3.344501567775972,7.383799285704871,4.611860961411637,1.267,0.379
2156,2019090500,443,0,1,0,43452.0,2.0,37212.0,43413.0,6.901938517511734,10.153938506067643,,3.252,0.471
2156,2019090500,443,1,0,1,46724.0,2.0,35583.0,47988.0,6.547180775522147,10.215138533533462,,3.668,0.56
2157,2019090500,744,0,1,0,43452.0,1.0,37212.0,,3.291712141732374,6.662512160042921,4.558720488853304,1.267,0.385
2157,2019090500,744,1,0,1,43357.0,1.0,47988.0,,6.477564347163719,6.493312121133009,,0.016,0.002
2158,2019090500,1023,0,1,0,46120.0,2.0,43357.0,46724.0,5.278937531423125,8.340137558888944,,3.061,0.58
2158,2019090500,1023,1,0,1,35583.0,1.0,46087.0,,6.760606280780566,8.328137513112578,,1.568,0.232
2159,2019090500,1350,0,0,1,35583.0,1.0,46087.0,,3.068177468591097,6.323777482324007,4.275211913470322,1.207,0.393
2159,2019090500,1350,1,1,0,39975.0,2.0,46724.0,47804.0,3.151578368066393,6.056177480035188,4.4954249364533645,1.344,0.426
2160,2019090500,1588,0,1,0,43452.0,2.0,43413.0,47988.0,5.876657334082772,9.139457340949226,,3.263,0.555
2160,2019090500,1588,1,0,1,43357.0,1.0,37212.0,,5.055657369168278,9.201857338660409,6.285844695641412,1.23,0.243
2161,2019090500,1797,0,0,1,35583.0,2.0,43357.0,47804.0,5.566166921344033,8.617766900744668,6.63566068662381,1.069,0.192
2161,2019090500,1797,1,1,0,39975.0,2.0,46114.0,46724.0,5.1502533325345645,8.753366914477578,,3.603,0.7
2162,2019090500,2004,0,1,0,43452.0,1.0,37092.0,,4.815190367117517,8.189590353384606,6.0971339905222885,1.282,0.266
2162,2019090500,2004,1,0,1,42818.0,1.0,41240.0,,5.315328386536638,7.839190344229333,,2.524,0.475
2163,2019090500,2151,0,0,1,35583.0,1.0,43357.0,,6.547946147128311,9.873146151705948,8.972499952579229,2.425,0.37
2163,2019090500,2151,1,1,0,39975.0,1.0,46724.0,,5.870320270089702,9.90434612195131,7.153079736390472,1.283,0.219
2164,2019090500,2356,0,0,1,35583.0,1.0,43357.0,,5.198758744305451,8.199958771771271,6.4456248709932815,1.247,0.24
2164,2019090500,2356,1,1,0,39975.0,2.0,46114.0,46724.0,5.855574613938233,8.460358723706086,,2.605,0.445
2165,2019090500,2625,0,0,1,43452.0,2.0,35583.0,47988.0,4.799656284652029,7.542856272063528,,2.743,0.572
2165,2019090500,2625,1,1,0,43357.0,1.0,37212.0,,4.317148270461892,8.14765629609612,5.563477391663007,1.246,0.289
2166,2019090500,2731,0,0,1,35583.0,1.0,43357.0,,6.477590090248162,9.693590113136345,,3.216,0.496
2166,2019090500,2731,1,1,0,39975.0,1.0,46724.0,,5.627638701494687,9.677990099403434,,4.05,0.72
2167,2019090500,2851,0,1,0,43452.0,2.0,37212.0,43413.0,4.387632533149866,7.350432540016321,5.762903226658268,1.375,0.313
2167,2019090500,2851,1,0,1,43357.0,2.0,35583.0,47988.0,6.483927023180336,7.698432551460412,7.243656119923444,0.76,0.117
2168,2019090500,3299,0,1,0,42818.0,2.0,37212.0,43413.0,4.407095252053072,7.591895247475435,,3.185,0.723
2168,2019090500,3299,1,0,1,43357.0,2.0,35583.0,47988.0,5.681156081772089,7.677095252053071,6.6687773283328955,0.988,0.174
2169,2019090500,3624,0,1,0,43413.0,2.0,46114.0,46724.0,5.518062480813202,8.857662471657928,,3.34,0.605
2169,2019090500,3624,1,0,1,35583.0,1.0,43357.0,,4.048054821844209,8.899662517434296,7.592312337122662,3.544,0.876
2170,2019090500,4468,0,1,0,43357.0,2.0,37212.0,43413.0,4.831642198690281,7.580842208989964,,2.749,0.569
2170,2019090500,4468,1,0,1,46724.0,2.0,35583.0,47988.0,5.531989040642097,7.427242198118076,6.553270245845715,1.021,0.185
2171,2019090800,426,0,0,1,42816.0,1.0,43351.0,,4.797307554805512,7.904107538783784,5.736888756182301,0.94,0.196
2171,2019090800,426,1,1,0,43495.0,1.0,46124.0,,3.162224676019039,8.09730755480551,4.565539488518335,1.403,0.444
