,gameId,playId,down,yardsToGo,yardsToEndzone,quarter,secondsUntilHalf,specialTeamsResult,kickingTeamScore,receivingTeamScore,kickDirectionIntended,kickType,week,year,end_frame,punterId,rGunnerId,rGunner_y,rGunner_vises,rVises1,rVises2,rGunner_lx,rGunner_ly,lGunnerId,lGunner_y,lGunner_vises,lVises1,lVises2,lGunner_lx,lGunner_ly,football_lx,football_ly
0,2018090600,366,4,4,92.0,1,1460,Return,0.0,0.0,C,N,1,2018,78,45603,46194,6.159999847412109,2,39968,43716,56.54999923706055,9.760000228881836,44979,47.56999969482422,2,44962,46263,54.58000183105469,52.310001373291016,72.61000061035156,39.18000030517578
1,2018090600,872,4,18,65.0,1,933,Touchback,0.0,3.0,C,N,1,2018,77,45603,46194,6.75,2,39968,43716,81.33999633789062,5.900000095367432,44979,46.599998474121094,1,46263,,89.16999816894531,39.290000915527344,97.16999816894531,39.470001220703125
2,2018090600,973,4,19,89.0,2,858,Fair Catch,3.0,0.0,L,N,1,2018,83,37267,38707,5.96999979019165,1,46194,,61.25,47.33000183105469,46263,46.060001373291016,1,44911,,70.31999969482422,50.810001373291016,68.9000015258789,48.790000915527344
3,2018090600,1850,4,8,69.0,2,90,Downed,3.0,6.0,R,N,1,2018,76,45603,46194,7.803333282470703,1,40008,,91.33999633789062,10.333333015441895,44979,46.2933349609375,1,46263,,81.36000061035156,32.913333892822266,98.33000183105469,10.213333129882812
4,2018090600,1989,4,8,74.0,2,44,Return,6.0,3.0,C,N,1,2018,80,37267,38707,6.010000228881836,2,45605,46194,71.72000122070312,37.619998931884766,46263,43.2599983215332,1,44911,,82.0999984741211,38.66999816894531,91.7699966430664,35.939998626708984
5,2018090600,2406,4,9,58.0,3,1653,Fair Catch,3.0,6.0,C,N,1,2018,79,45603,46194,6.243333339691162,1,39968,,90.66000366210938,27.623332977294922,44979,46.24333190917969,1,46263,,89.83000183105469,30.15333366394043,90.52999877929688,29.573333740234375
6,2018090600,2599,4,16,74.0,3,1522,Return,6.0,3.0,L,N,1,2018,77,37267,38707,6.269999980926514,2,45605,46194,74.47000122070312,39.08000183105469,46263,44.290000915527344,1,44911,,78.58999633789062,44.83000183105469,82.0199966430664,42.040000915527344
7,2018090600,3026,4,10,60.0,3,1064,Downed,6.0,10.0,L,N,1,2018,81,37267,38707,6.420000076293945,1,46194,,86.76000213623047,43.31999969482422,44074,45.11000061035156,1,44911,,97.16000366210938,43.54999923706055,85.08000183105469,41.61000061035156
8,2018090600,3225,4,6,70.0,3,934,Muffed,6.0,10.0,L,N,1,2018,73,37267,38707,5.159999847412109,1,46194,,71.1500015258789,36.970001220703125,35722,24.600000381469727,1,44911,,59.040000915527344,33.220001220703125,78.48999786376953,43.529998779296875
9,2018090600,3736,4,14,79.0,4,462,Out of Bounds,10.0,12.0,C,N,1,2018,75,45603,46194,5.840000152587891,2,43716,44074,68.33999633789062,10.319999694824219,44979,47.560001373291016,2,44962,46263,59.939998626708984,52.5,71.87000274658203,46.20000076293945
10,2018090600,3868,4,14,71.0,4,304,Return,12.0,10.0,C,N,1,2018,79,37267,38707,5.973333358764648,1,46194,,84.94000244140625,18.713333129882812,44074,44.61333465576172,1,44911,,85.4800033569336,22.273332595825195,89.62999725341797,21.003334045410156
11,2018090900,485,4,14,72.0,1,1345,Return,0.0,7.0,C,N,1,2018,78,46903,37200,6.263333320617676,2,44828,44999,73.0199966430664,12.103333473205566,43737,42.03333282470703,1,43498,,76.69999694824219,13.053333282470703,83.38999938964844,8.463333129882812
12,2018090900,575,4,9,74.0,1,1297,Return,7.0,0.0,L,A,1,2018,74,31018,43396,5.300000190734863,2,43737,46223,63.34000015258789,37.22999954223633,43498,44.529998779296875,1,37200,,66.0999984741211,47.560001373291016,90.69000244140625,48.900001525878906
13,2018090900,674,4,7,82.0,1,1243,Return,0.0,7.0,C,N,1,2018,83,46903,37200,7.173333168029785,2,43393,44999,74.51000213623047,11.633333206176758,43737,46.96333312988281,1,43498,,73.0999984741211,18.263334274291992,78.52999877929688,15.193333625793457
14,2018090900,1136,4,13,78.0,2,861,Return,0.0,14.0,C,N,1,2018,71,46903,37200,8.920000076293945,1,46187,,67.83000183105469,23.959999084472656,43737,46.220001220703125,1,43498,,71.47000122070312,36.29999923706055,79.87999725341797,28.1200008392334
15,2018090900,1360,4,14,79.0,2,729,Return,0.0,17.0,C,N,1,2018,81,46903,37200,7.21999979019165,1,43498,,76.20999908447266,21.84000015258789,43737,43.119998931884766,2,44999,46187,59.720001220703125,48.189998626708984,80.45999908447266,23.8700008392334
16,2018090900,1772,4,12,60.0,2,425,Downed,17.0,0.0,C,N,1,2018,72,31018,43396,5.793333530426025,2,43737,46694,75.7300033569336,7.953333377838135,43498,45.95333480834961,1,37200,,74.41000366210938,25.913333892822266,97.19999694824219,33.323333740234375
