playerName,avgFireTime,medFireTime,totalSnaps
Brandon Facyson,0.31,0.22,28
Josh Robinson,0.31,0.28,25
Tony Brown,0.33,0.29,21
Justin Bethel,0.34,0.28,44
Walt Aikens,0.35,0.31,37
Chris Moore,0.37,0.31,31
Mike Thomas,0.37,0.34,46
Fred Brown,0.38,0.28,44
Dane Cruikshank,0.38,0.31,57
Ameer Abdullah,0.38,0.32,27
Dee Virgin,0.38,0.3,39
Raheem Mostert,0.4,0.29,15
Ugochukwu Amadi,0.4,0.35,48
Trent Sherfield,0.4,0.42,45
George Odum,0.41,0.45,43
Troy Apke,0.41,0.28,41
Rudy Ford,0.41,0.41,23
Khadarel Hodge,0.41,0.42,38
Josh Bellamy,0.41,0.34,24
Brandon Wilson,0.42,0.34,30
Keisean Nixon,0.42,0.38,37
C.J. Goodwin,0.42,0.35,34
Justin Hardee,0.42,0.36,45
Cody Core,0.43,0.33,46
Johnny Holton,0.43,0.36,47
Cordarrelle Patterson,0.44,0.36,40
Byron Pringle,0.44,0.42,31
Russell Gage,0.45,0.44,14
Matt Slater,0.45,0.36,45
Kevin Johnson,0.5,0.58,37
Natrell Jamerson,0.55,0.65,10
Sean Murphy-Bunting,0.55,0.59,7
